Wall time,Step,Value
1519892093.4041464,117765,-5.426482677459717
1519892093.4335105,117780,-4.9471940994262695
1519893652.390603,117815,-4.484110355377197
1519893652.3963513,117820,-5.4695048332214355
1519893652.403518,117830,-4.953432083129883
1519893652.4190948,117840,-5.429225444793701
1519893652.4287992,117850,-5.4857707023620605
1519893652.5268707,117895,-4.373707294464111
1519895192.6293688,117905,-5.17286491394043
1519895192.6335354,117910,-4.736817836761475
1519895192.6568081,117920,-4.613156318664551
1519895192.7470562,117965,-5.174150466918945
1519896721.2575054,118015,-5.893290996551514
1519896721.3183048,118050,-5.114309310913086
1519896721.3326664,118055,-5.214240550994873
1519896721.341479,118060,-5.704550743103027
1519896721.3995955,118070,-5.044296741485596
1519896721.4070597,118080,-4.288842678070068
1519896721.4165938,118100,-3.8869240283966064
1519898256.3774588,118110,-5.055517196655273
1519898256.3946447,118125,-5.319176197052002
1519898256.4082355,118135,-4.1937575340271
1519899783.7011914,118210,-5.463738441467285
1519899783.7181566,118225,-5.264400482177734
1519899783.7501934,118250,-4.716039657592773
1519899783.771833,118270,-4.599367141723633
1519899783.8162444,118285,-4.330758571624756
1519899783.824147,118295,-4.40587854385376
1519901324.6357973,118310,-4.7065110206604
1519901324.6680667,118355,-5.315135478973389
1519901324.693849,118375,7.077491283416748
1519902859.154724,118420,-4.421929836273193
1519902859.165628,118430,-4.970423698425293
1519902859.1924622,118440,-4.948664665222168
1519902859.2220376,118455,-4.720510959625244
1519902859.2238424,118460,-3.5331621170043945
1519904400.6314352,118525,-3.0102319717407227
1519904400.6723797,118560,-5.771764755249023
1519904400.702943,118565,-5.337112903594971
1519904400.7672477,118585,-4.865807056427002
1519905943.6036458,118605,-5.502492904663086
1519905943.6231358,118615,-4.191497802734375
1519905943.64737,118630,-5.140819549560547
1519905943.6951833,118665,-4.321737766265869
1519905943.7199366,118670,-4.765504360198975
1519905943.721728,118675,-5.483007431030273
1519905943.7235122,118680,-5.505495548248291
1519905943.7325895,118690,-4.360291004180908
1519907532.3136432,118715,-5.530660629272461
1519907532.3255854,118720,-5.238090991973877
1519907532.3306377,118725,-5.719954013824463
1519907532.3654637,118755,-4.344968318939209
1519907532.3909323,118765,-5.0296711921691895
1519907532.395801,118775,-5.531217098236084
1519909067.7058387,118825,-3.1688430309295654
1519909067.739219,118835,-4.535334587097168
1519909067.7614741,118840,-4.1478095054626465
1519909067.7686207,118850,-4.812877655029297
1519909067.8113225,118880,-5.063023090362549
1519909067.8259325,118895,-5.606912612915039
1519910622.5146163,118945,-4.809430122375488
1519910622.576579,118970,-5.870783805847168
1519910622.5806117,118975,-5.7606377601623535
1519913212.5201473,119000,-5.893343448638916
1519914766.3991942,119040,-5.7945876121521
1519914766.4216409,119050,-5.506341457366943
1519914766.4369535,119060,-4.631441116333008
1519914766.5373917,119100,-5.238954544067383
1519916349.2583358,119125,-4.557405471801758
1519916349.319764,119150,-5.917079925537109
1519916349.3215897,119155,-5.392323017120361
1519916349.344408,119165,-5.597475051879883
1519916349.3478048,119170,-5.3775811195373535
1519916349.3497114,119175,-5.162554740905762
1519916349.3719969,119195,-5.730875015258789
1519917906.7470365,119215,-5.6345038414001465
1519917906.759244,119235,-6.008496284484863
1519917906.7755258,119240,-5.105165481567383
1519917906.8308296,119270,-4.2127461433410645
1519917906.8604836,119300,-3.738419771194458
1519919438.8235729,119315,-4.310054302215576
1519919438.8959794,119365,-5.574033260345459
1519919438.9296544,119395,-4.947473526000977
1519919438.9342628,119400,-4.636227607727051
1519920977.6921525,119440,-4.118196964263916
1519920977.6962023,119445,-4.614212989807129
1519920977.707876,119470,-3.3190512657165527
1519920977.7213757,119500,-4.272345066070557
1519922509.8484886,119525,-5.821465015411377
1519922509.9146767,119560,-5.253392219543457
1519922509.9613492,119590,-4.258240222930908
1519922509.9829657,119600,-3.4877214431762695
1519924075.703727,119610,-5.171271800994873
1519924075.727441,119630,-5.480915546417236
1519924075.743374,119640,-5.554739952087402
1519924075.7560499,119645,-5.413689136505127
1519924075.7820625,119665,-5.26065731048584
1519924075.7839735,119670,-5.890260219573975
1519924075.7877884,119680,-5.668535232543945
1519924075.8020303,119685,-5.63686466217041
1519924075.8075528,119700,-5.115940570831299
1519925642.6523354,119705,-3.4297537803649902
1519925642.6813602,119725,-2.165400981903076
1519925642.7101266,119740,-5.8024210929870605
1519925642.743793,119755,-2.9127249717712402
1519925642.7887423,119775,-4.123500823974609
1519925642.8342612,119790,-4.113813877105713
1519925642.873948,119795,-3.8672235012054443
1519925642.8882608,119800,-4.242311954498291
1519927204.6203713,119830,-5.597282886505127
1519927204.66662,119875,-6.068071365356445
1519928730.8754048,119905,-5.853127479553223
1519928730.9078076,119930,-4.228866100311279
1519928730.9144752,119940,-4.477787494659424
1519928730.9188087,119945,-5.274046421051025
1519928730.9475815,119960,-5.821992874145508
1519928730.9566212,119965,-5.047072887420654
1519928730.9847233,119980,-5.668044567108154
1519930301.77028,120020,-4.227382183074951
1519930301.773945,120030,-5.399980545043945
1519930301.7757688,120035,-5.058602809906006
1519930301.807768,120050,-5.560393810272217
1519930301.8164787,120055,-5.1079607009887695
1519930301.851451,120075,-5.371420383453369
1519931862.4781392,120105,-5.472762584686279
1519931862.5204391,120115,-5.629528999328613
1519931862.6072884,120160,-4.820064067840576
1519933471.371634,120260,-4.830019950866699
1519933471.3975372,120270,-5.129793643951416
1519933471.403937,120275,-5.324706554412842
1519935012.8304548,120345,-6.212924957275391
1519936558.6006148,120405,-5.67652702331543
1519936558.670781,120455,-5.476733207702637
1519936558.6760712,120460,-5.324790000915527
1519936558.6874683,120465,-5.687138080596924
1519936558.7019515,120480,-4.669330596923828
1519936558.7145653,120490,-4.109492301940918
1519938110.6513693,120505,-4.308526992797852
1519938110.659341,120510,-4.599594593048096
1519938110.6779578,120520,-4.424381732940674
1519938110.756299,120565,-4.185911178588867
1519939667.943832,120610,-3.876875400543213
1519939667.9531407,120615,-3.863884925842285
1519939667.966583,120625,-4.544271469116211
1519939668.058216,120685,-5.029592514038086
1519941219.4444063,120705,-5.135205268859863
1519941219.4523826,120715,-3.2683722972869873
1519941219.4935198,120730,-4.470618724822998
1519941219.5072465,120745,-3.363771915435791
1519941219.5090122,120750,-3.7735321521759033
1519941219.5680964,120785,-5.0000739097595215
1519941219.5777292,120790,-4.753385543823242
1519941219.5815902,120795,-4.469363212585449
1519942781.1662185,120825,-5.138897895812988
1519942781.1911108,120845,-5.163821220397949
1519942781.2224078,120855,-4.695005416870117
1519942781.2703614,120895,-5.735140323638916
1519944359.843188,120930,-5.201087474822998
1519944359.8870435,120950,-4.10370397567749
1519944359.9143267,120980,-3.8910675048828125
1519944359.9288924,120995,-3.5571160316467285
1519945885.3037548,121035,-4.743755340576172
1519945885.3280425,121045,-4.60236120223999
1519945885.3498464,121050,-5.637423038482666
1519945885.3741658,121055,-5.0267720222473145
1519945885.483212,121100,-4.095533847808838
1519947452.3180325,121110,-4.51548957824707
1519947452.3225882,121115,-4.985701560974121
1519947452.339625,121120,-5.173754692077637
1519947452.3648016,121130,-3.5330774784088135
1519947452.3711421,121140,-5.219012260437012
1519947452.4512744,121165,-5.044525623321533
1519947452.4809878,121185,-5.027002334594727
1519947452.496275,121200,-4.994316577911377
1519949025.924501,121205,-5.129787445068359
1519949026.0680866,121270,-5.338381290435791
1519949026.0848415,121280,-4.099917411804199
1519949026.0867777,121285,-5.510984897613525
1519950554.7625132,121315,-4.993138313293457
1519950554.7698038,121320,-4.130505084991455
1519950554.772733,121325,-4.02812385559082
1519950554.8080661,121380,10.531319618225098
1519950554.833911,121390,-5.251863956451416
1519950554.869063,121400,-5.386433124542236
1519952138.8991387,121405,-5.540557384490967
1519952138.9105957,121415,-4.5453267097473145
1519952138.9483864,121470,-4.497384071350098
1519952138.9518173,121480,-5.746598720550537
1519952138.9559925,121490,-5.018457889556885
1519952138.9579115,121495,-4.247987747192383
1519953698.9512687,121505,-4.910684108734131
1519953698.9621503,121510,-3.8657891750335693
1519953698.977059,121520,-5.444471836090088
1519953698.985472,121525,-5.702274322509766
1519953699.007247,121535,-4.799966812133789
1519953699.0630271,121550,-5.583232402801514
1519953699.0870035,121555,-5.759583950042725
1519953699.1743453,121600,-5.999509811401367
1519955244.1472273,121610,-5.700171947479248
1519955244.1636298,121630,-5.745420932769775
1519955244.1794724,121635,-5.014419078826904
1519955244.2274015,121655,-5.292597770690918
1519955244.239458,121675,-4.9444169998168945
1519955244.2468562,121680,-5.879237174987793
1519956803.7647457,121705,-5.66079568862915
1519956803.8104055,121750,-4.875001907348633
1519956803.8275964,121775,-5.41778564453125
1519956803.830632,121790,-5.680359363555908
1519958326.5439672,121825,-5.1017374992370605
1519958326.564099,121840,-4.5947489738464355
1519958326.6123838,121860,-5.488551139831543
1519958326.7207036,121895,-5.687887668609619
1519959890.8119648,121985,-5.910645008087158
1519959890.813863,121990,-6.25531005859375
1519959890.822862,121995,-5.600332260131836
1519961466.6754715,122090,-4.764641284942627
1519961466.6829338,122095,-5.851578235626221
1519963034.555051,122105,-5.534266471862793
1519963034.6097894,122130,-6.293537616729736
1519963034.6197815,122145,-6.28929328918457
1519963034.7240255,122180,-5.925683498382568
1519963034.7563488,122200,-5.521551132202148
1519964602.1580348,122205,-5.539860725402832
1519964602.1912963,122220,-5.618812084197998
1519964602.2303238,122230,-5.632840633392334
1519964602.246088,122235,-5.625478744506836
1519964602.2762907,122260,-6.019806385040283
1519964602.3033104,122265,-6.048557281494141
1519964602.3084772,122270,-5.693929672241211
1519964602.3388999,122285,-5.636496067047119
1519964602.3489654,122295,-5.570630073547363
1519966123.6644578,122305,-5.685697078704834
1519966123.6672544,122310,-5.389439105987549
1519966123.6778185,122320,-4.900103569030762
1519966123.686403,122330,-4.609264373779297
1519966123.688504,122335,-5.317452430725098
1519966123.690583,122345,-4.858483791351318
1519966123.694452,122355,-3.7182250022888184
1519966123.699295,122370,8.02589225769043
1519966123.7064412,122390,-4.132076263427734
1519967670.4926004,122410,-4.534468650817871
1519967670.5482836,122450,-3.50323486328125
1519967670.569843,122465,-4.612527847290039
1519967670.594529,122475,-4.728723526000977
1519967670.596941,122480,-4.440560817718506
1519967670.640586,122495,-5.513858795166016
1519969224.7950733,122505,-4.646942138671875
1519969224.8024209,122510,-4.677372455596924
1519969224.8063972,122515,-5.054484844207764
1519969224.9036548,122580,11.230754852294922
1519970757.561719,122630,-4.534707546234131
1519970757.5832531,122645,-4.416913032531738
1519970757.5999043,122655,-4.905165672302246
1519972317.0252087,122720,-5.855388641357422
1519972317.0290961,122725,-5.173051357269287
1519972317.0636325,122750,-4.535776138305664
1519972317.0957146,122770,-5.779644966125488
1519972317.1009407,122775,-5.8492021560668945
1519973877.8139381,122810,-4.873449802398682
1519973877.86111,122830,-4.830563545227051
1519973877.8876445,122840,-4.599885940551758
1519973877.8970404,122845,-4.961755752563477
1519973877.898825,122850,-5.427172660827637
1519973877.9098146,122870,-3.1945502758026123
1519973877.9856143,122895,-3.4457476139068604
1519973877.9896684,122900,-4.475263595581055
1519975414.931013,122910,-5.029202461242676
1519975414.954305,122920,-5.518014430999756
1519975414.9849265,122935,-5.293781757354736
1519975414.9949012,122945,-4.7579874992370605
1519975414.9967394,122950,-4.701660633087158
1519975415.0793731,122995,-3.3261454105377197
1519976985.1067815,123020,-4.91169548034668
1519976985.1249874,123035,-3.4698548316955566
1519976985.164823,123060,-5.169658184051514
1519976985.1763918,123080,-5.221661567687988
1519978553.2287264,123105,-5.502685070037842
1519978553.2315893,123110,-5.974576473236084
1519978553.2344382,123115,-5.684470176696777
1519978553.245423,123145,-4.728757381439209
1519978553.2542884,123170,-6.138087749481201
1519980126.4986062,123205,-6.353216171264648
1519980126.5221477,123215,-6.060049533843994
1519980126.5818624,123250,-4.3776445388793945
1519980126.688374,123295,-5.644252777099609
1519981659.2395477,123325,-3.3280749320983887
1519981659.2539551,123335,-5.628850936889648
1519981659.3302388,123360,-4.8046135902404785
1519981659.3320842,123365,-4.198187351226807
1519983140.70259,123445,-5.161985397338867
1519983140.729617,123475,-6.063642978668213
1519983140.733842,123485,-5.370305061340332
1519984707.6047997,123520,-4.55280876159668
1519984707.7464454,123595,-4.339035511016846
1519984707.7520099,123600,-4.421482086181641
1519986257.3349013,123640,-5.81097412109375
1519986257.3419309,123650,-4.835029125213623
1519986257.3529015,123665,-2.9610724449157715
1519986257.3622208,123670,-3.322263717651367
1519986257.3826013,123680,-2.958575487136841
1519987826.6402123,123705,-5.711196422576904
1519987826.7999382,123765,-4.2571940422058105
1519987826.8097024,123775,-2.750221014022827
1519987826.85228,123790,-4.757594585418701
1519989370.8941758,123805,-5.396933555603027
1519989370.9211786,123825,-5.313913345336914
1519989370.9660473,123845,-5.372852802276611
1519989370.9699378,123855,-5.262465000152588
1519989370.9718783,123860,-4.248970985412598
1519989370.9859552,123870,-3.917133092880249
1519990927.160567,123920,-5.30307149887085
1519990927.196563,123940,-5.960482120513916
1519990927.2168884,123950,-5.307762622833252
1519990927.2461908,123975,-4.583197116851807
1519992474.8246248,124020,-4.340966701507568
1519992474.866879,124050,-5.79578971862793
1519992474.9444144,124070,-3.776810884475708
1519992474.988843,124085,-4.809256076812744
1519992475.063522,124100,-3.667541742324829
1519994024.6106849,124115,-4.067627429962158
1519994024.615469,124125,-4.505268096923828
1519994024.640836,124130,-5.059999465942383
1519994024.6801186,124145,-4.630489349365234
1519994024.7459667,124185,-3.8816826343536377
1519994024.7883074,124190,-4.583595275878906
1519995564.0631158,124225,-4.247870922088623
1519995564.0677378,124235,-3.281845808029175
1519995564.1451383,124265,-4.9893574714660645
1519995564.1469681,124270,-4.4805755615234375
1519995564.148798,124275,-4.017759323120117
1519995564.162457,124280,-4.661121845245361
1519995564.1858196,124295,-4.794705390930176
1519997126.2663631,124305,-5.5513153076171875
1519997126.33686,124345,-2.879244804382324
1519997126.3448277,124350,-2.964841842651367
1519997126.3549883,124360,-1.3236225843429565
1519997126.3568518,124365,-2.3909912109375
1519997126.3586915,124370,-5.116648197174072
1519997126.3605392,124375,-4.400691032409668
1519997126.3653445,124380,-5.117664337158203
1519998667.9898176,124425,-3.9263410568237305
1519998668.0158272,124460,-5.066982269287109
1519998668.0206463,124470,-5.168920993804932
1519998668.0268674,124485,-5.579304218292236
1520041756.3823576,124500,-2.788832664489746
1520043451.2784631,124520,-5.213538646697998
1520043451.3387532,124540,-3.9377214908599854
1520045184.8249059,124630,-5.237845420837402
1520045184.836084,124640,-4.034982204437256
1520045184.8739603,124660,-3.857990026473999
1520045184.90932,124675,-4.389522552490234
1520045184.9131231,124685,-4.8371429443359375
1520046928.522057,124730,-5.393918037414551
1520046928.5249312,124735,-5.007421493530273
1520046928.5362227,124750,-4.222329139709473
1520046928.537676,124755,-4.203129768371582
1520046928.5477571,124770,-6.059316635131836
1520046928.5533633,124785,-5.140489101409912
1520046928.5549486,124790,-5.761134147644043
1520048621.953887,124825,-5.763067722320557
1520048621.9843664,124845,-3.895127773284912
1520048621.9862554,124850,-5.201854705810547
1520048621.9881883,124855,-5.999710559844971
1520048622.0032654,124870,-4.266605854034424
1520048622.0129602,124880,-3.9129016399383545
1520048622.01752,124890,-4.067595958709717
1520048622.0194046,124895,-5.105766773223877
1520050366.1444962,124905,-5.085031509399414
1520050366.1891482,124925,-5.064027786254883
1520050366.212611,124930,-5.126543998718262
1520050366.267407,124950,-3.6952688694000244
1520050366.2920547,124965,-4.668417930603027
1520050366.369777,125000,-5.404623508453369
1520052106.4888773,125010,-5.175494194030762
1520052106.4986145,125020,-5.445833206176758
1520052106.5887055,125075,-3.213442325592041
1520053808.829784,125110,-2.136964797973633
1520053808.9140317,125130,-3.1535778045654297
1520053809.4995902,125170,-4.438870429992676
1520053809.5156887,125185,-5.118496894836426
1520053809.5274923,125195,-4.886165618896484
1520055516.832837,125220,-4.998969078063965
1520055516.9513311,125270,-5.122990131378174
1520055516.9537597,125275,-4.8537163734436035
1520057238.0421908,125340,-5.734945297241211
1520057238.168284,125385,-5.474801540374756
